,precision,recall,f1-score,support
0,0.9134036144578314,0.8892961876832844,0.9011887072808321,1364.0
1,0.9316843345111896,0.5477839335180056,0.6899258613170519,1444.0
2,0.8761160714285714,1.0,0.9339678762641285,785.0
3,0.6783831282952548,0.9234449760765551,0.7821681864235056,1254.0
4,0.9678456591639871,0.9347826086956522,0.9510268562401264,1288.0
5,0.7423822714681441,0.8145896656534954,0.7768115942028986,329.0
6,0.866390041493776,0.7121418826739427,0.7817296892549608,1466.0
7,0.6955046649703138,0.6101190476190477,0.6500198176773683,1344.0
8,0.7491638795986622,0.8704663212435233,0.8052726183343318,1544.0
9,0.9473270440251572,0.8521923620933521,0.8972449739389425,1414.0
10,0.8083941605839416,0.8541131105398457,0.8306250000000001,1556.0
11,0.8151700087183958,0.6589147286821705,0.7287607170693686,1419.0
12,0.46331058020477817,0.8729903536977492,0.6053511705685619,622.0
13,0.9766990291262136,1.0,0.9882121807465619,503.0
14,0.976456009913259,1.0,0.9880877742946709,788.0
accuracy,0.8136682242990654,0.8136682242990654,0.8136682242990654,0.8136682242990654
macro avg,0.8272153665306317,0.8360556785451082,0.8206928682408873,17120.0
weighted avg,0.8344110087567731,0.8136682242990654,0.8136936675458037,17120.0
,precision,recall,f1-score,support
0,0.7826961770623743,0.8555718475073314,0.8175131348511384,1364.0
1,0.8159824046920822,0.7707756232686981,0.7927350427350428,1444.0
2,0.7733990147783252,1.0,0.8722222222222222,785.0
3,0.9663120567375887,0.8692185007974481,0.9151973131821999,1254.0
4,0.950533462657614,0.7608695652173914,0.8451918930573524,1288.0
5,0.8029925187032418,0.9787234042553191,0.8821917808219178,329.0
6,0.797847809377402,0.7080491132332879,0.7502710516805204,1466.0
7,0.8772189349112426,0.4412202380952381,0.5871287128712871,1344.0
8,0.6546681664791901,0.7538860103626943,0.7007826610475618,1544.0
9,0.7578231292517007,0.7878359264497878,0.7725381414701804,1414.0
10,0.8801597869507324,0.8496143958868895,0.8646173969914978,1556.0
11,0.7145892351274787,0.7110641296687809,0.7128223242670434,1419.0
12,0.43119266055045874,0.8311897106109325,0.5678198791872597,622.0
13,0.9178832116788321,1.0,0.9571836346336823,503.0
14,0.9664179104477612,0.9860406091370558,0.9761306532663315,788.0
accuracy,0.7882009345794393,0.7882009345794393,0.7882009345794393,0.7882009345794393
macro avg,0.8059810986270683,0.8202706049660571,0.8009563894856825,17120.0
weighted avg,0.8095317295548717,0.7882009345794393,0.7882623244878079,17120.0
,precision,recall,f1-score,support
0,0.8664429530201342,0.9464809384164223,0.9046951646811492,1364.0
1,0.8873121869782972,0.7361495844875346,0.8046934140802422,1444.0
2,0.7726377952755905,1.0,0.8717379233759023,785.0
3,0.8109798471160529,0.930622009569378,0.8666914222057186,1254.0
4,0.9074204946996467,0.9968944099378882,0.9500554938956715,1288.0
5,0.6889848812095032,0.9696048632218845,0.8055555555555556,329.0
6,0.9105125977410947,0.7148703956343793,0.8009170806266718,1466.0
7,0.8076923076923077,0.578125,0.6738941890719862,1344.0
8,0.7856673241288626,0.7739637305699482,0.7797716150081565,1544.0
9,0.7825818406423718,0.8960396039603961,0.835476425980877,1414.0
10,0.9506089309878214,0.9029562982005142,0.9261700725115359,1556.0
11,0.8587234042553191,0.7110641296687809,0.7779491133384734,1419.0
12,0.6,0.8440514469453376,0.7014028056112224,622.0
13,0.998015873015873,1.0,0.9990069513406157,503.0
14,0.9164619164619164,0.9467005076142132,0.9313358302122346,788.0
accuracy,0.8401869158878504,0.8401869158878504,0.8401869158878504,0.8401869158878504
macro avg,0.8362694902149861,0.8631681945484452,0.8419568704997341,17120.0
weighted avg,0.8479597540354306,0.8401869158878504,0.8375415556347202,17120.0
,precision,recall,f1-score,support
0,0.9505862646566164,0.8321114369501467,0.8874120406567632,1364.0
1,0.7503144654088051,0.8261772853185596,0.7864205669083719,1444.0
2,0.8635863586358636,1.0,0.9268004722550177,785.0
3,0.8221276595744681,0.7703349282296651,0.7953890489913544,1254.0
4,0.8521505376344086,0.7383540372670807,0.7911813643926789,1288.0
5,0.930835734870317,0.9817629179331308,0.955621301775148,329.0
6,0.7873333333333333,0.805593451568895,0.796358732299393,1466.0
7,0.8314447592067988,0.4367559523809524,0.5726829268292682,1344.0
8,0.5832492431886983,0.7487046632124352,0.655700510493477,1544.0
9,0.8635294117647059,0.7786421499292786,0.81889178133135,1414.0
10,0.8042269187986651,0.929305912596401,0.8622540250447227,1556.0
11,0.8817533129459735,0.609584214235377,0.7208333333333333,1419.0
12,0.4731270358306189,0.9340836012861736,0.6281081081081081,622.0
13,0.9654510556621881,1.0,0.9824218750000001,503.0
14,0.9799498746867168,0.9923857868020305,0.9861286254728878,788.0
accuracy,0.7917640186915887,0.7917640186915887,0.7917640186915887,0.7917640186915887
macro avg,0.8226443977465451,0.8255864225140085,0.8110803141927916,17120.0
weighted avg,0.8142923047278677,0.7917640186915887,0.7907898045720226,17120.0
,precision,recall,f1-score,support
0,0.8981989036805011,0.8409090909090909,0.8686103748580082,1364.0
1,0.7888086642599278,0.6052631578947368,0.6849529780564264,1444.0
2,0.9257075471698113,1.0,0.9614206981016534,785.0
3,0.7480550568521843,0.9968102073365231,0.8547008547008547,1254.0
4,0.9542902967121091,0.9239130434782609,0.9388560157790927,1288.0
5,0.6851063829787234,0.9787234042553191,0.8060075093867333,329.0
6,0.8381877022653722,0.7066848567530696,0.766839378238342,1466.0
7,0.8331374853113983,0.5275297619047619,0.646013667425968,1344.0
8,0.7857142857142857,0.8050518134715026,0.7952655150351887,1544.0
9,0.7472098214285714,0.946958981612447,0.8353087960074859,1414.0
10,0.8708308065494239,0.922879177377892,0.8960998439937597,1556.0
11,0.8927765237020316,0.5574348132487668,0.6863340563991325,1419.0
12,0.47434819175777965,0.9067524115755627,0.6228602981778023,622.0
13,1.0,0.9960238568588469,0.99800796812749,503.0
14,0.9692496924969249,1.0,0.9843847595252967,788.0
accuracy,0.8162967289719626,0.8162967289719626,0.8162967289719626,0.8162967289719626
macro avg,0.8274414240586032,0.8476623051117852,0.8230441809208823,17120.0
