,precision,recall,f1-score,support
0,1.0,0.9545454545454546,0.9767441860465117,44.0
1,0.9834834834834835,0.9653647752394989,0.9743399033097806,1357.0
2,0.9341463414634147,0.9708491761723701,0.952144188937228,789.0
3,0.9669811320754716,0.9070796460176991,0.9360730593607305,226.0
4,0.9885057471264368,0.9368191721132898,0.9619686800894856,459.0
5,1.0,0.9870317002881844,0.9934735315445976,694.0
6,1.0,0.8518518518518519,0.92,27.0
7,1.0,1.0,1.0,455.0
8,1.0,1.0,1.0,19.0
9,0.9302083333333333,0.9664502164502164,0.9479830148619958,924.0
10,0.9846022241231822,0.9867123874839263,0.9856561764076215,2333.0
11,0.9220103986135182,0.9432624113475178,0.9325153374233129,564.0
12,0.9653465346534653,1.0,0.982367758186398,195.0
13,0.9950124688279302,0.9958402662229617,0.9954261954261954,1202.0
14,0.9546666666666667,0.9754768392370572,0.9649595687331536,367.0
15,1.0,0.7415730337078652,0.8516129032258065,89.0
accuracy,0.9727011494252874,0.9727011494252874,0.9727011494252874,0.9727011494252874
macro avg,0.9765602081479314,0.9489285581673683,0.960954031472051,9744.0
weighted avg,0.9732249596094504,0.9727011494252874,0.9726203869023454,9744.0
,precision,recall,f1-score,support
0,1.0,0.9772727272727273,0.9885057471264368,44.0
1,0.9881569207994079,0.9837877671333825,0.9859675036927621,1357.0
2,0.9670468948035488,0.9670468948035488,0.9670468948035488,789.0
3,0.9145299145299145,0.9469026548672567,0.9304347826086956,226.0
4,0.979498861047836,0.9368191721132898,0.9576837416481069,459.0
5,0.99,0.9985590778097982,0.994261119081779,694.0
6,0.6136363636363636,1.0,0.7605633802816901,27.0
7,1.0,1.0,1.0,455.0
8,1.0,0.8947368421052632,0.9444444444444444,19.0
9,0.94258872651357,0.9772727272727273,0.9596174282678002,924.0
10,0.9943771626297578,0.9854264894984998,0.9898815931108719,2333.0
11,0.9852941176470589,0.950354609929078,0.9675090252707582,564.0
12,0.9948979591836735,1.0,0.9974424552429668,195.0
13,0.9966832504145937,1.0,0.9983388704318937,1202.0
14,0.9864130434782609,0.989100817438692,0.9877551020408163,367.0
15,0.9318181818181818,0.9213483146067416,0.9265536723163842,89.0
accuracy,0.9808087027914614,0.9808087027914614,0.9808087027914614,0.9808087027914614
macro avg,0.9553088372813855,0.9705392559281878,0.9597503600230597,9744.0
weighted avg,0.9816640416145216,0.9808087027914614,0.9810173929640769,9744.0
,precision,recall,f1-score,support
0,0.75,0.8181818181818182,0.7826086956521738,44.0
1,0.9756457564575646,0.974207811348563,0.9749262536873157,1357.0
2,0.9758269720101781,0.9721166032953105,0.9739682539682539,789.0
3,0.9953917050691244,0.9557522123893806,0.9751693002257337,226.0
4,1.0,0.9215686274509803,0.9591836734693878,459.0
5,0.9787835926449788,0.9971181556195965,0.9878658101356175,694.0
6,0.8709677419354839,1.0,0.9310344827586207,27.0
7,1.0,1.0,1.0,455.0
8,1.0,1.0,1.0,19.0
9,0.9331275720164609,0.9816017316017316,0.9567510548523207,924.0
10,0.9921705089169204,0.9777111015859409,0.9848877374784111,2333.0
11,0.9928571428571429,0.9858156028368794,0.9893238434163701,564.0
12,0.9605911330049262,1.0,0.9798994974874372,195.0
13,0.9901153212520593,1.0,0.9950331125827814,1202.0
14,0.9837837837837838,0.9918256130790191,0.9877883310719131,367.0
15,1.0,0.9550561797752809,0.9770114942528736,89.0
accuracy,0.9797824302134647,0.9797824302134647,0.9797824302134647,0.9797824302134647
macro avg,0.9624538268717889,0.9706847160727813,0.9659657213149506,9744.0
weighted avg,0.9802983249435384,0.9797824302134647,0.9798422916891791,9744.0
,precision,recall,f1-score,support
0,1.0,0.7045454545454546,0.8266666666666667,44.0
1,0.9799851742031134,0.974207811348563,0.9770879526977088,1357.0
2,0.9149940968122786,0.982256020278834,0.9474327628361859,789.0
3,0.9653679653679653,0.9867256637168141,0.975929978118162,226.0
4,0.9886363636363636,0.9477124183006536,0.967741935483871,459.0
5,0.9871794871794872,0.9985590778097982,0.992836676217765,694.0
6,1.0,0.8518518518518519,0.92,27.0
7,0.9722222222222222,1.0,0.9859154929577464,455.0
8,0.875,0.7368421052631579,0.7999999999999999,19.0
9,0.9222903885480572,0.9761904761904762,0.9484752891692955,924.0
10,0.9939103958242714,0.9794256322331761,0.986614853195164,2333.0
11,1.0,0.8368794326241135,0.9111969111969112,564.0
12,0.9798994974874372,1.0,0.9898477157360407,195.0
13,0.9884678747940692,0.9983361064891847,0.9933774834437086,1202.0
14,0.9556135770234987,0.997275204359673,0.976,367.0
15,0.967391304347826,1.0,0.9834254143646408,89.0
accuracy,0.9729064039408867,0.9729064039408867,0.9729064039408867,0.9729064039408867
macro avg,0.9681848967154119,0.9356754534382344,0.9489093207552416,9744.0
weighted avg,0.9739154576065241,0.9729064039408867,0.9726062849150967,9744.0
,precision,recall,f1-score,support
0,1.0,0.9545454545454546,0.9767441860465117,44.0
1,0.9954648526077098,0.9705232129697863,0.9828358208955223,1357.0
2,0.9835443037974684,0.9847908745247148,0.9841671944268524,789.0
3,0.9377593360995851,1.0,0.9678800856531049,226.0
4,1.0,0.934640522875817,0.9662162162162162,459.0
5,0.9914163090128756,0.9985590778097982,0.9949748743718594,694.0
6,0.9642857142857143,1.0,0.9818181818181818,27.0
7,1.0,1.0,1.0,455.0
8,1.0,1.0,1.0,19.0
9,0.9472049689440993,0.9902597402597403,0.9682539682539683,924.0
10,0.9784081287044877,0.9905700814402058,0.984451544195953,2333.0
11,0.9675675675675676,0.9521276595744681,0.9597855227882037,564.0
12,0.9798994974874372,1.0,0.9898477157360407,195.0
13,1.0,0.9983361064891847,0.9991673605328892,1202.0
14,0.9944444444444445,0.9754768392370572,0.984869325997249,367.0
15,1.0,0.8539325842696629,0.9212121212121213,89.0
accuracy,0.9828612479474549,0.9828612479474549,0.9828612479474549,0.9828612479474549
macro avg,0.9837496951844619,0.9752351346247431,0.9788890073840422,9744.0
weighted avg,0.983217126455789,0.9828612479474549,0.9828216557219176,9744.0
,precision,recall,f1-score,support
0,1.0,0.9090909090909091,0.9523809523809523,44.0
1,0.9864661654135338,0.9668386145910096,0.976553777446967,1357.0
2,0.9567901234567902,0.982256020278834,0.9693558474046279,789.0
3,0.9519650655021834,0.9646017699115044,0.9582417582417583,226.0
4,0.9976359338061466,0.9193899782135077,0.9569160997732427,459.0
5,0.9774330042313117,0.9985590778097982,0.9878831076265147,694.0
6,0.8181818181818182,1.0,0.9,27.0
7,1.0,1.0,1.0,455.0
8,1.0,0.8947368421052632,0.9444444444444444,19.0
9,0.9876265466816648,0.9502164502164502,0.9685603971318256,924.0
10,0.9846547314578005,0.9901414487783969,0.9873904680487283,2333.0
11,0.9547826086956521,0.973404255319149,0.9640035118525022,564.0
12,1.0,0.9846153846153847,0.9922480620155039,195.0
13,0.9835796387520526,0.9966722129783694,0.9900826446280991,1202.0
14,0.9507772020725389,1.0,0.9747675962815405,367.0
15,0.967391304347826,1.0,0.9834254143646408,89.0
accuracy,0.9792692939244664,0.9792692939244664,0.9792692939244664,0.9792692939244664
macro avg,0.9698302589124574,0.9706576852442861,0.9691408801025843,9744.0
weighted avg,0.9796377258085311,0.9792692939244664,0.9792276765230323,9744.0
,precision,recall,f1-score,support
0,1.0,0.9090909090909091,0.9523809523809523,44.0
1,0.9828741623231572,0.9727339719970524,0.9777777777777779,1357.0
2,0.9762532981530343,0.9378960709759189,0.9566903684550743,789.0
3,0.8921161825726142,0.9513274336283186,0.9207708779443255,226.0
4,0.9698275862068966,0.9803921568627451,0.9750812567713977,459.0
5,1.0,0.9855907780979827,0.9927431059506531,694.0
6,1.0,1.0,1.0,27.0
7,1.0,1.0,1.0,455.0
8,1.0,1.0,1.0,19.0
9,0.9678456591639871,0.9772727272727273,0.9725363489499192,924.0
10,0.9859574468085106,0.9931418774110587,0.9895366218236173,2333.0
11,0.9549393414211439,0.9769503546099291,0.9658194566170026,564.0
12,1.0,1.0,1.0,195.0
13,0.9925434962717481,0.9966722129783694,0.9946035699460357,1202.0
14,0.981081081081081,0.989100817438692,0.9850746268656716,367.0
15,1.0,0.9101123595505618,0.9529411764705883,89.0
accuracy,0.9809113300492611,0.9809113300492611,0.9809113300492611,0.9809113300492611
macro avg,0.9814648908751358,0.9737676043696415,0.9772472587470635,9744.0
weighted avg,0.9811167026020473,0.9809113300492611,0.9809093268042318,9744.0
,precision,recall,f1-score,support
0,1.0,0.9772727272727273,0.9885057471264368,44.0
1,0.9320113314447592,0.969786293294031,0.9505236547490069,1357.0
2,0.9809160305343512,0.9771863117870723,0.979047619047619,789.0
3,0.9908256880733946,0.9557522123893806,0.9729729729729731,226.0
4,0.9956331877729258,0.9934640522875817,0.9945474372955289,459.0
5,0.9871794871794872,0.9985590778097982,0.992836676217765,694.0
6,0.9642857142857143,1.0,0.9818181818181818,27.0
7,1.0,1.0,1.0,455.0
8,1.0,1.0,1.0,19.0
9,0.9844444444444445,0.9588744588744589,0.9714912280701755,924.0
10,0.9798245614035088,0.9575653664809258,0.968567092998049,2333.0
11,0.9715808170515098,0.9698581560283688,0.9707187222715172,564.0
12,0.9798994974874372,1.0,0.9898477157360407,195.0
13,0.9893004115226337,1.0,0.9946214315266859,1202.0
14,0.9838274932614556,0.9945504087193461,0.989159891598916,367.0
15,0.9368421052631579,1.0,0.967391304347826,89.0
accuracy,0.9763957307060755,0.9763957307060755,0.9763957307060755,0.9763957307060755
macro avg,0.9797856731077987,0.9845543165589807,0.9820031047360451,9744.0
weighted avg,0.9766969135094946,0.9763957307060755,0.9764198878531491,9744.0
,precision,recall,f1-score,support
0,1.0,1.0,1.0,44.0
1,0.9679582712369598,0.9572586588061901,0.9625787328640236,1357.0
2,0.9959677419354839,0.9391634980988594,0.9667318982387476,789.0
3,0.902834008097166,0.9867256637168141,0.9429175475687103,226.0
4,0.9634408602150538,0.9760348583877996,0.9696969696969697,459.0
5,0.994261119081779,0.9985590778097982,0.9964054636951832,694.0
6,1.0,1.0,1.0,27.0
7,1.0,1.0,1.0,455.0
8,0.9047619047619048,1.0,0.9500000000000001,19.0
9,0.9643652561247216,0.9372294372294372,0.9506037321624589,924.0
10,0.9721988205560236,0.9892841834547793,0.9806670915657532,2333.0
11,0.9963963963963964,0.9804964539007093,0.9883824843610367,564.0
12,0.9847715736040609,0.9948717948717949,0.9897959183673469,195.0
13,0.995857497928749,1.0,0.9979244499792446,1202.0
14,0.9683377308707124,1.0,0.9839142091152815,367.0
15,0.967391304347826,1.0,0.9834254143646408,89.0
accuracy,0.9778325123152709,0.9778325123152709,0.9778325123152709,0.9778325123152709
macro avg,0.9736589053223024,0.9849764766422614,0.9789402444987123,9744.0
weighted avg,0.9780906518084176,0.9778325123152709,0.9777868574254754,9744.0
,precision,recall,f1-score,support
0,1.0,0.9545454545454546,0.9767441860465117,44.0
1,0.9895522388059701,0.9771554900515844,0.9833147942157954,1357.0
2,0.9622641509433962,0.9695817490494296,0.9659090909090909,789.0
3,0.9016393442622951,0.9734513274336283,0.9361702127659574,226.0
4,0.9865470852017937,0.9586056644880174,0.9723756906077348,459.0
5,0.9985528219971056,0.9942363112391931,0.996389891696751,694.0
6,1.0,0.8518518518518519,0.92,27.0
7,1.0,1.0,1.0,455.0
8,1.0,1.0,1.0,19.0
9,0.9571577847439916,0.9913419913419913,0.9739500265816055,924.0
10,0.9948320413436692,0.9901414487783969,0.9924812030075187,2333.0
11,0.9855072463768116,0.9645390070921985,0.974910394265233,564.0
12,1.0,0.9948717948717949,0.9974293059125964,195.0
13,0.9991680532445923,0.9991680532445923,0.9991680532445923,1202.0
14,0.9865229110512129,0.997275204359673,0.991869918699187,367.0
15,0.967032967032967,0.9887640449438202,0.9777777777777779,89.0
accuracy,0.9851190476190477,0.9851190476190477,0.9851190476190477,0.9851190476190477
macro avg,0.9830485403127378,0.9753455870807267,0.978655659108147,9744.0
weighted avg,0.985421073529086,0.9851190476190477,0.985164390204954,9744.0
,precision,recall,f1-score,support
0,1.0,0.8636363636363636,0.9268292682926829,44.0
1,0.9595667870036101,0.9793662490788504,0.9693654266958424,1357.0
2,0.9817945383615084,0.9569074778200254,0.969191270860077,789.0
3,0.9262295081967213,1.0,0.9617021276595745,226.0
4,0.9807280513918629,0.9978213507625272,0.9892008639308856,459.0
5,0.9830028328611898,1.0,0.9914285714285715,694.0
6,1.0,0.9259259259259259,0.9615384615384615,27.0
7,1.0,1.0,1.0,455.0
8,1.0,0.8947368421052632,0.9444444444444444,19.0
9,0.9725576289791438,0.9588744588744589,0.9656675749318802,924.0
10,0.9848615916955017,0.9759965709387055,0.9804090419806243,2333.0
11,0.9907407407407407,0.9485815602836879,0.9692028985507245,564.0
12,1.0,0.9692307692307692,0.9843749999999999,195.0
13,0.9788273615635179,1.0,0.9893004115226337,1202.0
14,0.9917127071823204,0.9782016348773842,0.9849108367626885,367.0
15,0.9270833333333334,1.0,0.9621621621621621,89.0
accuracy,0.978448275862069,0.978448275862069,0.978448275862069,0.978448275862069
macro avg,0.9798190675818406,0.9655799502208726,0.9718580225475784,9744.0
weighted avg,0.9787127073440228,0.978448275862069,0.9784108242556955,9744.0
,precision,recall,f1-score,support
0,1.0,1.0,1.0,44.0
1,0.983751846381093,0.9815770081061165,0.9826632239026191,1357.0
2,0.9895968790637191,0.9645120405576679,0.9768934531450578,789.0
3,0.91701244813278,0.9778761061946902,0.9464668094218415,226.0
4,1.0,0.9433551198257081,0.9708520179372198,459.0
5,1.0,0.9812680115273775,0.9905454545454545,694.0
6,0.9642857142857143,1.0,0.9818181818181818,27.0
7,1.0,1.0,1.0,455.0
8,1.0,0.9473684210526315,0.972972972972973,19.0
9,0.9888765294771968,0.9621212121212122,0.9753154141524959,924.0
10,0.97571189279732,0.9987141020145736,0.9870790086846007,2333.0
11,0.9790209790209791,0.9929078014184397,0.9859154929577465,564.0
12,0.9948979591836735,1.0,0.9974424552429668,195.0
13,0.9950331125827815,1.0,0.9975103734439834,1202.0
14,0.994535519125683,0.9918256130790191,0.9931787175989086,367.0
15,0.967391304347826,1.0,0.9834254143646408,89.0
accuracy,0.985324302134647,0.985324302134647,0.985324302134647,0.985324302134647
macro avg,0.9843821365249229,0.9838453397435898,0.9838799368867932,9744.0
weighted avg,0.9855682037106376,0.985324302134647,0.9853071566333637,9744.0
,precision,recall,f1-score,support
0,0.88,1.0,0.9361702127659575,44.0
1,0.9730713245997089,0.9852616064848931,0.9791285243500549,1357.0
2,0.9628252788104089,0.9847908745247148,0.9736842105263158,789.0
3,1.0,0.9203539823008849,0.9585253456221198,226.0
4,1.0,0.8583877995642701,0.9237983587338804,459.0
5,0.9985486211901307,0.9913544668587896,0.9949385394070861,694.0
6,0.4090909090909091,1.0,0.5806451612903226,27.0
7,1.0,1.0,1.0,455.0
8,1.0,0.8421052631578947,0.9142857142857143,19.0
9,0.9738846572361263,0.9686147186147186,0.9712425393380358,924.0
10,0.9819897084048027,0.9815687955422203,0.9817792068595926,2333.0
11,0.9468267581475128,0.9787234042553191,0.962510897994769,564.0
12,1.0,1.0,1.0,195.0
13,0.9868529170090387,0.9991680532445923,0.992972302604382,1202.0
14,1.0,0.9673024523160763,0.9833795013850415,367.0
15,1.0,0.9438202247191011,0.9710982658959537,89.0
accuracy,0.9768062397372742,0.9768062397372742,0.9768062397372742,0.9768062397372742
macro avg,0.9445681359055399,0.9638407275989672,0.9452599238162016,9744.0
weighted avg,0.9794688055161401,0.9768062397372742,0.9774166647042865,9744.0
,precision,recall,f1-score,support
0,1.0,0.9090909090909091,0.9523809523809523,44.0
1,0.9903846153846154,0.9867354458364038,0.9885566629752677,1357.0
