,precision,recall,f1-score,support
0,0.9996824892840134,0.9995238095238095,0.9996031431065957,6300.0
1,0.9997178011062197,0.9997742281424621,0.999746013828136,17717.0
2,1.0,1.0,1.0,1995.0
3,0.9982740766309975,0.9934730333218825,0.9958677685950413,2911.0
4,0.9992181391712275,1.0,0.999608916699257,1278.0
5,1.0,1.0,1.0,4778.0
6,1.0,1.0,1.0,1264.0
7,0.9960136674259681,1.0,0.9980028530670471,3498.0
8,1.0,0.9988888888888889,0.9994441356309061,900.0
accuracy,0.9993356462685465,0.9993356462685465,0.9993356462685465,0.9993356462685465
macro avg,0.999211797068714,0.9990733288752269,0.9991414256585536,40641.0
weighted avg,0.9993364433030161,0.9993356462685465,0.999335274736911,40641.0
,precision,recall,f1-score,support
0,0.9984152139461173,1.0,0.9992069785884219,6300.0
1,0.9998871268130256,1.0,0.999943560221244,17717.0
2,1.0,1.0,1.0,1995.0
3,1.0,0.9948471315699072,0.9974169106251076,2911.0
4,0.9961028838659393,1.0,0.9980476376415464,1278.0
5,1.0,1.0,1.0,4778.0
6,1.0,1.0,1.0,1264.0
7,0.9991431019708654,1.0,0.9995713673381912,3498.0
8,1.0,0.9944444444444445,0.9972144846796658,900.0
accuracy,0.9995078861248493,0.9995078861248493,0.9995078861248493,0.9995078861248493
macro avg,0.9992831473995497,0.9988101751127059,0.9990445487882419,40641.0
weighted avg,0.9995088243370407,0.9995078861248493,0.9995074729569428,40641.0
,precision,recall,f1-score,support
0,0.9962025316455696,0.9993650793650793,0.9977812995245642,6300.0
1,0.998872413598692,1.0,0.9994358887572629,17717.0
2,0.9979969954932398,0.9989974937343359,0.998496993987976,1995.0
3,0.9968673860076575,0.9838543455857094,0.9903181189488244,2911.0
4,0.9992181391712275,1.0,0.999608916699257,1278.0
5,1.0,1.0,1.0,4778.0
6,1.0,1.0,1.0,1264.0
7,0.9988551803091014,0.9977129788450543,0.9982837528604119,3498.0
8,1.0,0.9988888888888889,0.9994441356309061,900.0
accuracy,0.9984744469870328,0.9984744469870328,0.9984744469870328,0.9984744469870328
macro avg,0.998668071802832,0.9976465318243408,0.9981521229343558,40641.0
weighted avg,0.9984739467620011,0.9984744469870328,0.9984705558548855,40641.0
,precision,recall,f1-score,support
0,0.9998412698412699,0.9998412698412699,0.9998412698412699,6300.0
1,0.9994355384962745,0.9993791273917706,0.9994073321479977,17717.0
2,0.9979949874686717,0.9979949874686717,0.9979949874686717,1995.0
3,0.9944960440316477,0.9931295087598764,0.9938123066345824,2911.0
4,1.0,1.0,1.0,1278.0
5,1.0,1.0,1.0,4778.0
6,1.0,1.0,1.0,1264.0
7,0.9971477467199087,0.9994282447112636,0.9982866933181038,3498.0
8,1.0,0.9966666666666667,0.9983305509181971,900.0
accuracy,0.998991166555941,0.998991166555941,0.998991166555941,0.998991166555941
macro avg,0.9987683985064193,0.9984933116488354,0.9986303489254246,40641.0
weighted avg,0.9989911724057199,0.998991166555941,0.998990961770932,40641.0
,precision,recall,f1-score,support
0,0.9962037329958874,0.9996825396825397,0.997940104579306,6300.0
1,0.9990412812993458,0.999887114071231,0.9994640187311348,17717.0
2,1.0,0.9964912280701754,0.9982425307557118,1995.0
