,precision,recall,f1-score,support
0,0.9923227703364913,0.9203151037721558,0.9549634520160339,6601.0
1,0.9932103715584069,0.9977979483323487,0.9954988747186796,18619.0
2,0.9961482908040443,1.0,0.9980704293294742,2069.0
3,0.9867595818815331,0.9334212261041529,0.9593495934959348,3034.0
4,0.9992401215805471,1.0,0.999619916381604,1315.0
5,0.9968095712861416,1.0,0.9984022368683843,4999.0
6,0.7599531615925058,0.9984615384615385,0.8630319148936171,1300.0
7,0.9639711769415532,0.9890470974808324,0.9763481551561022,3652.0
8,0.9682875264270613,0.9989094874591058,0.9833601717659689,917.0
accuracy,0.9808968145673552,0.9808968145673552,0.9808968145673552,0.9808968145673552
macro avg,0.9618558413786984,0.9819947112900148,0.9698494160695333,42506.0
weighted avg,0.9831811795245744,0.9808968145673552,0.9812591371039929,42506.0
,precision,recall,f1-score,support
0,0.9535576064304853,0.9704590213604,0.9619340791350702,6601.0
1,0.9936929099608526,0.9815779579998926,0.9875982815919592,18619.0
2,0.9980704293294742,1.0,0.9990342829550941,2069.0
3,0.8965087281795511,0.9479235332893869,0.9214995193848126,3034.0
4,0.9813293502613891,0.9992395437262357,0.9902034664657121,1315.0
5,0.9979854955680902,0.990998199639928,0.9944795744253739,4999.0
6,0.87248322147651,1.0,0.931899641577061,1300.0
7,0.9979326639102185,0.9252464403066812,0.9602159704461495,3652.0
8,0.9786324786324786,0.9989094874591058,0.9886670264436048,917.0
accuracy,0.9760974921187597,0.9760974921187597,0.9760974921187597,0.9760974921187597
macro avg,0.9633547648610055,0.9793726870868478,0.9706146491583153,42506.0
weighted avg,0.9771909635710809,0.9760974921187597,0.9763082295888122,42506.0
,precision,recall,f1-score,support
0,0.9923828448418612,0.9078927435237085,0.9482594936708861,6601.0
1,0.996713007867227,0.9934475535743058,0.9950776017430132,18619.0
2,0.9733333333333334,0.9879168680521991,0.9805708803070281,2069.0
3,0.9625292740046838,0.9482531311799605,0.9553378714926116,3034.0
4,0.9992401215805471,1.0,0.999619916381604,1315.0
5,0.9881399486064439,1.0,0.9940345993239212,4999.0
6,0.7660577489687684,1.0,0.8675342008675343,1300.0
7,0.9379947229551451,0.9734392113910186,0.9553883364686911,3652.0
8,0.9561586638830898,0.9989094874591058,0.9770666666666667,917.0
accuracy,0.9762386486613654,0.9762386486613654,0.9762386486613654,0.9762386486613654
macro avg,0.9525055184490111,0.9788732216866998,0.963654396324662,42506.0
weighted avg,0.9785583399028919,0.9762386486613654,0.9765828115876674,42506.0
,precision,recall,f1-score,support
0,0.9986859395532195,0.9210725647629147,0.9583103475451179,6601.0
1,0.9967094438960185,0.9760996831193942,0.986296909342523,18619.0
2,0.9947064485081809,0.9990333494441759,0.9968652037617554,2069.0
3,0.9555990858635325,0.9647330257086355,0.9601443332786616,3034.0
4,0.9992401215805471,1.0,0.999619916381604,1315.0
5,0.9748439937597504,1.0,0.9872617754517626,4999.0
6,0.8387096774193549,1.0,0.9122807017543859,1300.0
7,0.8865678892397377,0.9994523548740416,0.939631870253572,3652.0
8,0.9828326180257511,0.9989094874591058,0.9908058409951324,917.0
accuracy,0.9746388745118336,0.9746388745118336,0.9746388745118336,0.9746388745118336
macro avg,0.9586550242051213,0.9843667183742519,0.970135210973835,42506.0
weighted avg,0.9768965839863987,0.9746388745118336,0.9749482905262491,42506.0
,precision,recall,f1-score,support
0,0.9935537190082645,0.9106196030904409,0.9502806102284405,6601.0
1,0.9932318104906938,0.9773349803963693,0.9852192744991879,18619.0
2,0.9861773117254529,1.0,0.9930405567554595,2069.0
3,0.9342583415923357,0.9321028345418589,0.9331793433426826,3034.0
4,0.9992401215805471,1.0,0.999619916381604,1315.0
5,0.9527348961311225,1.0,0.9757954323638492,4999.0
6,0.8280254777070064,1.0,0.9059233449477352,1300.0
7,0.9224707676664972,0.9937020810514786,0.9567624571579224,3652.0
8,0.9713679745493107,0.9989094874591058,0.9849462365591397,917.0
accuracy,0.9707805956806098,0.9707805956806098,0.9707805956806098,0.9707805956806098
macro avg,0.9534511578279147,0.9791854429488058,0.9649741302484469,42506.0
weighted avg,0.9725482319646089,0.9707805956806098,0.9709208374576125,42506.0
,precision,recall,f1-score,support
0,0.9947413061916879,0.888350249962127,0.9385403329065302,6601.0
1,0.9938453159041394,0.9800204092593587,0.986884447929906,18619.0
2,0.9036036036036036,0.9695505074915418,0.9354161809279552,2069.0
3,0.8855855855855855,0.9719841793012525,0.9267756128221243,3034.0
4,0.9992401215805471,1.0,0.999619916381604,1315.0
5,0.9994,0.9995999199839968,0.9994999499949995,4999.0
6,0.8365508365508365,1.0,0.9110021023125437,1300.0
7,0.9128991060025543,0.9786418400876232,0.9446279899563895,3652.0
8,1.0,0.9989094874591058,0.9994544462629569,917.0
accuracy,0.9685220909989178,0.9685220909989178,0.9685220909989178,0.9685220909989178
macro avg,0.9473184306021061,0.9763396215050005,0.9602023310550012,42506.0
weighted avg,0.9710521056798772,0.9685220909989178,0.968778616684284,42506.0
,precision,recall,f1-score,support
0,0.9943820224719101,0.9921224056961067,0.9932509289451733,6601.0
1,0.9990077724491483,0.973360545679145,0.9860174102285092,18619.0
2,1.0,0.9927501208313195,0.9963618724229929,2069.0
3,0.868444184002344,0.976928147659855,0.9194974406700791,3034.0
4,0.9992401215805471,1.0,0.999619916381604,1315.0
5,0.9996000799840032,1.0,0.9998,4999.0
6,0.9885931558935361,1.0,0.994263862332696,1300.0
7,0.9680085310583845,0.994249726177437,0.9809536674321222,3652.0
8,0.9860064585575888,0.9989094874591058,0.9924160346695557,917.0
accuracy,0.984590410765539,0.984590410765539,0.984590410765539,0.984590410765539
macro avg,0.9781424806663845,0.9920356037225522,0.9846867925647482,42506.0
weighted avg,0.9858327963142488,0.984590410765539,0.9848931256852279,42506.0
,precision,recall,f1-score,support
0,0.9959612277867528,0.9339494016058173,0.9639590336955672,6601.0
1,0.9979379081223508,0.9357108330200333,0.9658231005904039,18619.0
2,0.9869816779170685,0.9893668438859352,0.9881728216268404,2069.0
3,0.9399100257069408,0.9640738299274885,0.9518385942076146,3034.0
4,0.9992401215805471,1.0,0.999619916381604,1315.0
5,0.9437417406078913,1.0,0.9710567210567211,4999.0
6,0.7282913165266106,1.0,0.8427876823338735,1300.0
7,0.821601661666282,0.9748083242059146,0.89167188478397,3652.0
8,0.973432518597237,0.9989094874591058,0.9860064585575888,917.0
accuracy,0.9563120500635205,0.9563120500635205,0.9563120500635205,0.9563120500635205
macro avg,0.9318997998346311,0.9774243022338105,0.9512151348037983,42506.0
weighted avg,0.9626963112543281,0.9563120500635205,0.957586037864202,42506.0
,precision,recall,f1-score,support
0,0.9947916666666666,0.9259203151037722,0.9591212240094155,6601.0
1,0.9979738856371004,0.9523604919705677,0.9746337977849233,18619.0
2,0.9332431213351375,1.0,0.9654689687354177,2069.0
3,0.9398133247505632,0.962425840474621,0.9509851815665201,3034.0
4,0.9992395437262357,0.9992395437262357,0.9992395437262357,1315.0
5,0.9678606001936109,1.0,0.983667847304211,4999.0
6,0.7990165949600492,1.0,0.8882815169115135,1300.0
7,0.8497164461247637,0.9846659364731654,0.9122272957889396,3652.0
8,0.9838882921589689,0.9989094874591058,0.9913419913419914,917.0
accuracy,0.9635816120077165,0.9635816120077165,0.9635816120077165,0.9635816120077165
macro avg,0.9406159417281218,0.9803912905786076,0.9583297074632409,42506.0
weighted avg,0.96754848615849,0.9635816120077165,0.9642720192154183,42506.0
,precision,recall,f1-score,support
0,0.9952552356020943,0.9215270413573701,0.9569731770628491,6601.0
1,0.9974169741697417,0.8710457059992481,0.9299578542962815,18619.0
2,0.990426041168023,1.0,0.9951899951899952,2069.0
3,0.6351118760757315,0.972972972972973,0.7685498568081229,3034.0
4,1.0,0.9992395437262357,0.9996196272346899,1315.0
5,0.9759859429910192,1.0,0.9878470506866911,4999.0
6,0.7817197835237523,1.0,0.8774890313871077,1300.0
7,0.8318421656343198,0.9928806133625411,0.9052552739982525,3652.0
8,0.9765708200212992,1.0,0.9881465517241379,917.0
accuracy,0.928762998164965,0.928762998164965,0.928762998164965,0.928762998164965
macro avg,0.9093698710206645,0.9730739863798187,0.9343364909320143,42506.0
weighted avg,0.9471674549925966,0.928762998164965,0.9322989507860197,42506.0
