,precision,recall,f1-score,support
0,0.9831401475237092,0.6815193571950329,0.8050043140638481,1369.0
1,0.6662153012863913,0.6790890269151139,0.6725905673274094,1449.0
2,0.9462227912932138,0.9354430379746835,0.9408020369191598,790.0
3,0.8596311475409836,0.6664019062748213,0.7507829977628636,1259.0
4,0.961926091825308,0.6643464810518175,0.7859103385178409,1293.0
5,0.5345699831365935,0.9491017964071856,0.6839266450916935,334.0
6,0.850835322195704,0.4847042828008158,0.6175833694239931,1471.0
7,0.2967651195499297,0.156412157153447,0.20485436893203882,1349.0
8,0.45908607863974493,0.2788896061975468,0.34698795180722886,1549.0
9,0.7339312406576981,0.3460183227625088,0.47030651340996166,1419.0
10,0.35905413814561293,0.7392696989109545,0.48335078534031417,1561.0
11,0.40242733950814435,0.8848314606741573,0.553238199780461,1424.0
12,0.36443468715697036,0.529505582137161,0.43172951885565664,627.0
13,1.0,0.6318897637795275,0.7744270205066345,508.0
14,0.9987341772151899,0.9949558638083228,0.9968414403032217,793.0
accuracy,0.6033149171270719,0.6033149171270719,0.6033149171270719,0.6033149171270719
macro avg,0.6944649043783462,0.6414918896028732,0.6345557378694884,17195.0
weighted avg,0.6763534590584682,0.6033149171270719,0.6046118602976841,17195.0
,precision,recall,f1-score,support
0,0.8973143759873617,0.8298027757487217,0.8622390891840608,1369.0
1,0.6754966887417219,0.7039337474120083,0.6894221020615072,1449.0
2,0.8821548821548821,0.9949367088607595,0.9351576442593693,790.0
3,0.8351648351648352,0.482922954725973,0.6119778560644188,1259.0
4,0.7010526315789474,0.7726218097447796,0.7350993377483445,1293.0
5,0.3121272365805169,0.9401197604790419,0.46865671641791046,334.0
6,0.423963133640553,0.6254248810333106,0.5053556715188134,1471.0
7,0.9887640449438202,0.39140103780578206,0.5608072225172598,1349.0
8,0.5106861642294713,0.5861846352485475,0.5458370904718965,1549.0
9,0.6751484308736218,0.5609584214235377,0.6127790608160123,1419.0
10,0.7036163522012578,0.5733504163997437,0.6318390398870455,1561.0
11,0.5781527531083481,0.4571629213483146,0.5105882352941177,1424.0
12,0.6121673003802282,0.7703349282296651,0.6822033898305084,627.0
13,0.7827426810477658,1.0,0.8781331028522039,508.0
14,0.9071100917431193,0.9974779319041615,0.9501501501501501,793.0
accuracy,0.6596685082872928,0.6596685082872928,0.6596685082872928,0.6596685082872928
macro avg,0.6990441068250968,0.7124421953576231,0.6786830472715746,17195.0
weighted avg,0.7034207969193841,0.6596685082872928,0.6601494772436969,17195.0
,precision,recall,f1-score,support
0,0.8904795991410165,0.9086924762600438,0.8994938539407086,1369.0
