,precision,recall,f1-score,support
0,1.0,0.8863636363636364,0.9397590361445783,44.0
1,0.972953216374269,0.9808400884303611,0.9768807339449541,1357.0
2,0.9595959595959596,0.9632446134347274,0.9614168247944338,789.0
3,1.0,0.8982300884955752,0.9463869463869463,226.0
4,0.9351464435146444,0.9738562091503268,0.9541088580576308,459.0
5,1.0,0.9899135446685879,0.9949312092686459,694.0
6,0.9642857142857143,1.0,0.9818181818181818,27.0
7,1.0,1.0,1.0,455.0
8,0.9047619047619048,1.0,0.9500000000000001,19.0
9,0.9443254817987152,0.9545454545454546,0.9494079655543596,924.0
10,0.9852877542189529,0.9759965709387055,0.9806201550387597,2333.0
11,0.9822380106571936,0.9804964539007093,0.9813664596273292,564.0
12,0.9641025641025641,0.9641025641025641,0.9641025641025641,195.0
13,0.9884868421052632,1.0,0.9942100909842845,1202.0
14,0.9972144846796658,0.9754768392370572,0.9862258953168044,367.0
15,0.9368421052631579,1.0,0.967391304347826,89.0
accuracy,0.9767036124794746,0.9767036124794746,0.9767036124794746,0.9767036124794746
macro avg,0.9709525300848754,0.9714416289542316,0.9705391390867062,9744.0
weighted avg,0.9769715000033229,0.9767036124794746,0.9767045277430939,9744.0
,precision,recall,f1-score,support
0,1.0,0.9772727272727273,0.9885057471264368,44.0
1,0.9869731800766284,0.9491525423728814,0.9676934635612322,1357.0
2,0.9197166469893743,0.9873257287705957,0.9523227383863081,789.0
3,0.948051948051948,0.9690265486725663,0.9584245076586433,226.0
4,0.9976415094339622,0.9215686274509803,0.9580973952434881,459.0
5,0.9971056439942113,0.9927953890489913,0.9949458483754513,694.0
6,0.8709677419354839,1.0,0.9310344827586207,27.0
7,1.0,1.0,1.0,455.0
8,0.8260869565217391,1.0,0.9047619047619047,19.0
9,0.9815817984832069,0.9805194805194806,0.9810503519220357,924.0
10,0.9909871244635193,0.9897128161165881,0.9903495603688612,2333.0
11,0.9667250437828371,0.9787234042553191,0.9726872246696034,564.0
12,0.9653465346534653,1.0,0.982367758186398,195.0
13,0.9950331125827815,1.0,0.9975103734439834,1202.0
14,0.994579945799458,1.0,0.9972826086956521,367.0
15,0.967032967032967,0.9887640449438202,0.9777777777777779,89.0
accuracy,0.9812192118226601,0.9812192118226601,0.9812192118226601,0.9812192118226601
macro avg,0.962989384612599,0.9834288318389969,0.9721757339335249,9744.0
weighted avg,0.9818242968686721,0.9812192118226601,0.9812596632007186,9744.0
,precision,recall,f1-score,support
0,1.0,0.9090909090909091,0.9523809523809523,44.0
1,0.9904200442151806,0.9904200442151806,0.9904200442151806,1357.0
2,0.9712858926342073,0.9860583016476553,0.9786163522012579,789.0
3,0.9594594594594594,0.9424778761061947,0.9508928571428572,226.0
4,1.0,0.9433551198257081,0.9708520179372198,459.0
5,0.9800285306704708,0.9899135446685879,0.9849462365591398,694.0
6,0.9310344827586207,1.0,0.9642857142857143,27.0
7,1.0,0.9956043956043956,0.9977973568281938,455.0
8,0.9285714285714286,0.6842105263157895,0.7878787878787878,19.0
9,0.9521829521829522,0.9913419913419913,0.9713679745493107,924.0
10,0.996943231441048,0.9785683669095585,0.9876703439325113,2333.0
11,0.98,0.9556737588652482,0.9676840215439856,564.0
12,0.9948979591836735,1.0,0.9974424552429668,195.0
13,0.9844389844389845,1.0,0.9921584812216261,1202.0
14,0.9891304347826086,0.9918256130790191,0.9904761904761904,367.0
