,precision,recall,f1-score,support
0,0.995227489659561,0.993015873015873,0.9941204512950899,6300.0
1,0.9996045197740113,0.9986453688547723,0.9991247141203378,17717.0
2,0.9919436052366566,0.9874686716791979,0.9897010801306203,1995.0
3,0.9972212573810351,0.9862590175197526,0.9917098445595856,2911.0
4,0.9992181391712275,1.0,0.999608916699257,1278.0
5,0.999581589958159,1.0,0.9997907512031806,4778.0
6,1.0,1.0,1.0,1264.0
7,0.9789798206278026,0.998570611778159,0.988678177186527,3498.0
8,1.0,0.9988888888888889,0.9994441356309061,900.0
accuracy,0.9965798085677026,0.9965798085677026,0.9965798085677026,0.9965798085677026
macro avg,0.9957529357564948,0.9958720479707383,0.9957975634250561,40641.0
weighted avg,0.9966102720309953,0.9965798085677026,0.9965839621628247,40641.0
,precision,recall,f1-score,support
0,0.9992049610430911,0.9974603174603175,0.9983318770355072,6300.0
1,0.999322951929587,0.9997177851780775,0.9995203295618069,17717.0
2,1.0,0.9984962406015038,0.9992475545522949,1995.0
3,0.9880260006842285,0.9920989350738578,0.9900582790538225,2911.0
4,0.9992181391712275,1.0,0.999608916699257,1278.0
5,1.0,1.0,1.0,4778.0
6,1.0,1.0,1.0,1264.0
7,0.996568487274807,0.9962835906232133,0.9964260185847035,3498.0
8,0.9988826815642458,0.9933333333333333,0.9961002785515319,900.0
accuracy,0.9983760242120027,0.9983760242120027,0.9983760242120027,0.9983760242120027
macro avg,0.997913691296354,0.9974878002522559,0.9976992504487693,40641.0
weighted avg,0.9983792585235519,0.9983760242120027,0.9983770006908061,40641.0
,precision,recall,f1-score,support
0,0.9982559061360393,0.9993650793650793,0.9988101848179582,6300.0
1,0.9990412272291467,0.9998306711068465,0.9994357932746558,17717.0
2,1.0,0.9994987468671679,0.9997493106041614,1995.0
3,0.9913941480206541,0.9893507385778083,0.9903713892709767,2911.0
4,0.9992163009404389,0.9976525821596244,0.9984338292873922,1278.0
5,0.999581589958159,1.0,0.9997907512031806,4778.0
6,1.0,1.0,1.0,1264.0
7,0.9985636311404769,0.9937106918238994,0.9961312508955438,3498.0
8,0.9955703211517165,0.9988888888888889,0.9972268441486413,900.0
accuracy,0.9984006299057602,0.9984006299057602,0.9984006299057602,0.9984006299057602
macro avg,0.997958124952959,0.9975885998654793,0.9977721503891678,40641.0
weighted avg,0.9983996982493507,0.9984006299057602,0.9983993755337663,40641.0
,precision,recall,f1-score,support
0,0.9990476190476191,0.9990476190476191,0.9990476190476191,6300.0
1,0.9981391677004624,0.9990969125698481,0.9986178104989987,17717.0
2,0.998997995991984,0.9994987468671679,0.9992483086945628,1995.0
3,0.9927133934767522,0.9828237718996908,0.9877438287588469,2911.0
4,0.9992163009404389,0.9976525821596244,0.9984338292873922,1278.0
5,1.0,1.0,1.0,4778.0
6,1.0,0.9992088607594937,0.999604273842501,1264.0
7,0.9971477467199087,0.9994282447112636,0.9982866933181038,3498.0
8,0.9922737306843267,0.9988888888888889,0.9955703211517165,900.0
accuracy,0.9980315444993971,0.9980315444993971,0.9980315444993971,0.9980315444993971
macro avg,0.997503994951277,0.9972939585448442,0.9973947427333045,40641.0
weighted avg,0.9980288116140827,0.9980315444993971,0.9980279222510001,40641.0
,precision,recall,f1-score,support
0,0.9934848244080725,0.9923809523809524,0.9929325815929485,6300.0
1,0.999435506632797,0.9993226844273861,0.9993790923459019,17717.0
2,0.9989974937343359,0.9989974937343359,0.9989974937343359,1995.0
3,0.9971811134601832,0.9721745104774991,0.9845190467907462,2911.0
4,1.0,0.9929577464788732,0.9964664310954063,1278.0
5,0.9987458193979933,1.0,0.9993725162099979,4778.0
6,1.0,1.0,1.0,1264.0
7,0.9856257046223225,0.9997141223556318,0.9926199261992621,3498.0
8,0.9625668449197861,1.0,0.9809264305177112,900.0
accuracy,0.996235328855097,0.996235328855097,0.996235328855097,0.996235328855097
macro avg,0.9928930341306101,0.9950608344282976,0.9939126131651457,40641.0
weighted avg,0.99627922261625,0.996235328855097,0.9962332092969671,40641.0
,precision,recall,f1-score,support
0,0.99952373392602,0.9993650793650793,0.9994444003492341,6300.0
1,0.9993794076163611,0.9998306711068465,0.9996049884318041,17717.0
2,0.9979959919839679,0.9984962406015038,0.9982460536206464,1995.0
3,0.9927760577915377,0.9914118859498454,0.9920935029219663,2911.0
4,0.9968798751950078,1.0,0.9984375,1278.0
5,1.0,1.0,1.0,4778.0
6,1.0,1.0,1.0,1264.0
7,0.9954415954415955,0.9988564894225271,0.9971461187214612,3498.0
8,1.0,0.9777777777777777,0.9887640449438202,900.0
accuracy,0.9985482640683054,0.9985482640683054,0.9985482640683054,0.9985482640683054
macro avg,0.9979996291060544,0.9961931271359534,0.9970818454432148,40641.0
weighted avg,0.9985493658636868,0.9985482640683054,0.9985456621382987,40641.0
,precision,recall,f1-score,support
0,0.9972968675465098,0.9955555555555555,0.9964254507903725,6300.0
1,0.9992104224240032,1.0,0.9996050552922592,17717.0
2,1.0,0.9669172932330827,0.9831804281345566,1995.0
3,0.9923424991298294,0.979388526279629,0.9858229598893499,2911.0
4,0.9992181391712275,1.0,0.999608916699257,1278.0
5,1.0,1.0,1.0,4778.0
6,1.0,1.0,1.0,1264.0
7,0.9746235359732293,0.9991423670668954,0.9867306606437042,3498.0
8,0.9857456140350878,0.9988888888888889,0.9922737306843267,900.0
accuracy,0.9961123003863094,0.9961123003863094,0.9961123003863094,0.9961123003863094
macro avg,0.9942707864755429,0.9933214034471168,0.9937385780148696,40641.0
weighted avg,0.9961638566453279,0.9961123003863094,0.996107111022068,40641.0
,precision,recall,f1-score,support
0,0.997148288973384,0.9990476190476191,0.9980970504281638,6300.0
1,1.0,0.9993791273917706,0.9996894672952601,17717.0
2,1.0,1.0,1.0,1995.0
3,0.9913494809688581,0.9841978701477155,0.9877607309084641,2911.0
4,0.9992138364779874,0.9945226917057903,0.9968627450980392,1278.0
5,0.9993725162099979,1.0,0.9996861596401296,4778.0
6,1.0,1.0,1.0,1264.0
7,0.9903737259343148,1.0,0.9951635846372688,3498.0
8,0.9932508436445444,0.9811111111111112,0.9871436556735607,900.0
accuracy,0.9978593046430944,0.9978593046430944,0.9978593046430944,0.9978593046430944
macro avg,0.996745410245454,0.9953620466004452,0.9960448215200984,40641.0
weighted avg,0.9978618335597359,0.9978593046430944,0.9978564446151743,40641.0
,precision,recall,f1-score,support
